data,cupons,clientes,valor_total,na_promocao
2026-02-04,726,302,131613.41,False
2026-02-05,604,291,102427.4,False
2026-02-06,796,372,126753.92000000001,False
2026-02-07,1045,418,165027.43,False
2026-02-08,1118,453,195525.22,False
2026-02-09,696,331,145736.51,False
2026-02-10,572,282,75489.22,False
2026-02-11,543,265,75344.3,False
2026-02-12,653,314,123069.12,False
2026-02-13,619,298,112413.88,False
2026-02-14,935,408,172219.33,False
2026-02-15,707,319,170181.75,False
2026-02-16,779,320,115817.95,False
2026-02-17,898,403,156156.95,False
2026-02-18,717,336,128307.97,False
2026-02-19,602,266,100176.85,False
2026-02-20,759,335,120933.32,False
2026-02-21,971,421,199002.97,False
2026-02-22,941,399,196558.9,False
2026-02-23,638,293,124900.47,False
2026-02-24,495,232,83589.33,False
2026-02-25,539,257,91109.51,False
2026-02-26,489,237,117225.09,False
2026-02-27,639,299,110607.29000000001,False
2026-02-28,1006,392,194189.48,False
2026-03-01,871,388,214917.38,False
2026-03-02,650,282,115454.20000000001,False
2026-03-03,531,262,100735.83,False
2026-03-04,528,265,79541.22,False
2026-03-05,600,288,107766.81,False
2026-03-06,759,349,133806.46,False
2026-03-07,1058,433,196069.1,False
2026-03-08,1089,422,184532.07,False
2026-03-09,841,352,158188.63999999998,False
2026-03-10,672,301,116797.11,False
2026-03-11,695,347,128512.08,False
2026-03-12,741,332,131056.60999999999,False
2026-03-13,705,354,138217.96,False
2026-03-14,1035,434,197081.46,False
2026-03-15,1060,446,204487.76,False
2026-03-16,744,326,131943.87,False
2026-03-17,582,279,101608.56999999999,False
2026-03-18,624,302,120194.84,False
2026-03-19,717,316,134853.99,True
2026-03-20,721,364,113710.63,True
2026-03-21,1405,571,282658.32999999996,True
2026-03-22,1285,541,283882.2,True
2026-03-23,859,377,177545.47,True
2026-03-24,697,349,133789.65,True
2026-03-25,788,389,194925.46000000002,True
2026-03-26,852,374,156953.69,True
2026-03-27,987,448,210288.25,True
2026-03-28,1777,744,425497.15,True
2026-03-29,1730,757,425634.18000000005,True
2026-03-30,1024,468,296691.36,True
2026-03-31,1122,508,294468.68,True
2026-04-01,1116,540,255106.55,True
2026-04-02,1274,619,305295.73,True
2026-04-03,1262,573,278596.02,True
2026-04-04,1150,521,219824.81,True
