shopping_id,loja_nome,segmento,cupons,clientes,valor_total,ticket_medio,shopping_sigla,ranking
1,Renner,Moda,329,255,87096.63,264.73,CS,1
1,Nike Unite,Moda,141,111,63459.47,450.07,CS,2
1,Lojas Americanas,Eletrodomésticos,462,295,42850.37,92.75,CS,3
1,Centauro,Esportes,102,90,36021.27,353.15,CS,4
1,Óticas Carol,Ótica,17,16,35730.1,2101.77,CS,5
1,C&A,Moda,137,117,34585.54,252.45,CS,6
1,Decathlon,Esportes,121,105,33387.28,275.93,CS,7
1,Samsung,Eletrônicos,8,4,32903.0,4112.88,CS,8
1,Empório Du Homem,Moda,33,27,29597.86,896.9,CS,9
1,Riachuelo,Moda,132,111,28780.27,218.03,CS,10
1,Maze Vale Comercio LTDA,Moda,30,25,27708.27,923.61,CS,11
1,Vivara,Joalheria,17,15,27556.39,1620.96,CS,12
1,Vivo,Telefonia,4,4,24775.0,6193.75,CS,13
1,Magazine Luiza,Eletrodomésticos,15,7,20757.1,1383.81,CS,14
1,Carioca Calçados,Calçados,57,53,20529.15,360.16,CS,15
1,Panvel Farmácias,Farmácias,210,164,19169.97,91.29,CS,16
1,Kalunga,Papelaria,147,115,18151.2,123.48,CS,17
1,Clifield,Moda,22,22,17315.35,787.06,CS,18
1,Audithorium Menswear,Moda,21,19,16907.96,805.14,CS,19
1,Live!,Moda Feminina,26,26,15987.39,614.9,CS,20
1,IDéli oui,Beleza e Bem-estar,42,35,15765.78,375.38,CS,21
1,Arezzo,Calçados,26,24,14905.57,573.29,CS,22
1,Brasil Cacau,Gastronomia,125,99,14245.53,113.96,CS,23
1,Livrarias Catarinense,Livrarias,148,121,14211.84,96.03,CS,24
1,Youcom,Moda,40,33,14159.5,353.99,CS,25
1,Beagle,Moda,23,17,14027.79,609.9,CS,26
1,TIM,Telefonia,4,4,13944.0,3486.0,CS,27
1,Kopenhagen,Gastronomia,62,48,13814.76,222.82,CS,28
1,Usaflex,Calçados,37,14,13571.62,366.8,CS,29
1,Tommy Hilfiger,Moda,13,9,13496.0,1038.15,CS,30
1,Leo Cosméticos,Beleza e Bem-estar,182,153,13345.54,73.33,CS,31
1,Polishop,Eletrodomésticos,10,4,12754.48,1275.45,CS,32
1,Lua Luá,Moda,24,16,12341.23,514.22,CS,33
1,Cobasi,Pets,103,83,12106.67,117.54,CS,34
1,Hope,Moda,34,31,11781.06,346.5,CS,35
1,Studio Z,Calçados,73,67,11369.64,155.75,CS,36
1,Madero,Gastronomia,61,53,10741.98,176.1,CS,37
1,Claro,Telefonia,2,2,10221.64,5110.82,CS,38
1,Cotton On,Moda,39,29,9835.39,252.19,CS,39
1,Ótica Diniz,Ótica,7,7,9767.8,1395.4,CS,40
1,O Boticário,Beleza e Bem-estar,65,51,9405.01,144.69,CS,41
1,Damyller,Moda,13,13,9212.4,708.65,CS,42
1,Me.Linda,Beleza e Bem-estar,69,61,8877.69,128.66,CS,43
1,McDonald's,Gastronomia,143,109,8729.61,61.05,CS,44
1,Pernambucanas,Moda,61,46,8345.4,136.81,CS,45
1,Hering Store,Moda,28,23,8210.37,293.23,CS,46
1,Ri Happy Baby,Infantil,45,37,8064.75,179.22,CS,47
1,Bacio di Latte,Gastronomia,140,96,8043.12,57.45,CS,48
1,Outback Steakhouse,Gastronomia,37,33,7916.72,213.97,CS,49
1,Pop Me,Moda,25,25,6939.7,277.59,CS,50
1,Luz da Lua,Moda,6,5,6675.8,1112.63,CS,51
1,Democrata,Calçados,16,14,6625.16,414.07,CS,52
1,Brooksfield,Moda,4,4,6455.24,1613.81,CS,53
1,Companhia da Moda,Moda,11,11,6173.6,561.24,CS,54
1,Casa Maria,Casa e Decoração,87,54,6148.68,70.67,CS,55
1,Bom Beef,Gastronomia,76,39,5936.45,78.11,CS,56
1,ADCOS,Beleza e Bem-estar,12,11,5863.38,488.62,CS,57
1,Ophicina,Moda,8,8,5822.96,727.87,CS,58
1,Bagaggio,Presentes e Acessórios,11,10,5790.85,526.44,CS,59
1,Spoleto,Gastronomia,111,85,5769.01,51.97,CS,60
1,Cartes - Cozinha do Mundo,Gastronomia,82,55,5529.06,67.43,CS,61
1,FARM Rio,Moda,14,12,5282.89,377.35,CS,62
1,Hefesto Acessorios,Presentes e Acessórios,24,14,5205.03,216.88,CS,63
1,Lupo,Moda,26,25,5174.82,199.03,CS,64
1,Constance,Calçados,19,17,5160.37,271.6,CS,65
